Timestamp,X,Y,Z,Label
25:24.6,-0.34,0.54,-9.16,
25:24.7,-0.44,0.65,-9.17,
25:24.7,-0.53,0.93,-9.43,
25:24.7,-0.29,0.98,-9.34,
25:24.7,-0.38,0.89,-9.44,
25:24.8,-0.56,0.79,-9.59,
25:24.8,-0.79,0.67,-9.96,
25:24.8,-0.71,0.63,-10,
25:24.8,-0.63,0.62,-9.94,
25:24.8,-0.28,0.69,-9.63,
25:24.9,0.13,0.75,-9.1,
25:24.9,0.22,0.76,-8.84,
25:24.9,0.28,0.78,-8.56,
25:24.9,0.2,0.8,-8.28,
25:25.0,0.05,0.89,-7.95,
25:25.0,-0.21,0.92,-7.79,
25:25.0,-0.44,0.85,-7.65,
25:25.0,-0.47,0.73,-7.45,
25:25.0,-0.53,0.68,-7.19,
25:25.1,-0.56,0.73,-6.97,
25:25.1,-0.56,0.66,-6.92,
25:25.1,-0.43,0.55,-7.14,
25:25.1,-0.21,0.71,-7.34,
25:25.2,-0.13,0.89,-7.49,
25:25.2,-0.15,1.03,-7.6,
25:25.2,-0.14,0.94,-7.52,
25:25.2,-0.02,0.56,-7.66,
25:25.2,0.06,0.25,-8.49,
25:25.3,-0.48,0.49,-10.05,
25:25.3,-0.99,1.14,-10.67,
25:25.3,-1.04,1.51,-10.69,
25:25.3,-0.65,1.72,-10.44,
25:25.4,-0.44,1.28,-10.59,
25:25.4,-0.37,1.1,-10.68,
25:25.4,-0.27,0.96,-10.86,
25:25.4,-0.3,1.34,-10.87,
25:25.4,-0.59,1.4,-11.01,
25:25.5,-0.44,0.86,-11.18,
25:25.5,-0.35,0.65,-11.39,
25:25.5,-0.82,0.85,-11.72,
25:25.5,-1.29,1.04,-11.89,
25:25.6,-1.02,0.83,-11.64,
25:25.6,-0.62,0.75,-11.53,
25:25.6,-0.6,0.94,-11.65,
25:25.6,-1.02,1.29,-11.84,
25:25.7,-0.94,1.29,-11.75,
25:25.7,-0.41,1.13,-11.59,
25:25.7,-0.62,1.19,-11.81,
25:25.7,-0.85,1.23,-12,
25:25.7,-0.63,1,-11.86,
25:25.8,-0.32,0.86,-11.78,
25:25.8,-0.26,0.79,-12.07,
25:25.8,-0.42,0.77,-12.87,
25:25.8,-0.63,1,-13.84,
25:25.9,-0.8,0.93,-14.78,
25:25.9,-0.76,0.83,-15.68,
25:25.9,-1.12,1.3,-16.04,
25:25.9,-1.45,2.25,-16.57,
25:25.9,-1.23,2.4,-16.91,
25:26.0,-0.97,1.59,-17.02,
25:26.0,-1.59,0.53,-16.83,
25:26.0,-2.14,0.17,-16.81,
25:26.0,-1.35,0.21,-16.07,
25:26.1,-0.43,0.76,-14.98,
25:26.1,-0.06,1.84,-14.07,
25:26.1,0.03,2.85,-13.44,
25:26.1,-0.39,3.27,-12.69,
25:26.1,-1.06,3.7,-12.09,
25:26.2,-1.58,3.09,-10.08,
25:26.2,-1.42,2.98,-8.6,
25:26.2,-1.37,2.76,-7.95,
25:26.2,-1.15,2.01,-6.67,
25:26.3,-0.77,2.05,-5.76,
25:26.3,-0.54,2.15,-4.97,
25:26.3,-0.42,2.27,-4.82,
25:26.3,-0.35,2.86,-4.47,
25:26.3,-0.11,3.39,-3.66,
25:26.4,-0.23,3.03,-3.23,
25:26.4,-0.33,2.35,-1.97,
25:26.4,0.07,1.77,-0.77,
25:26.4,0.38,1.41,-0.39,
25:26.5,0.82,1.65,0.17,
25:26.5,1.2,2.11,0.95,
25:26.5,1.34,1.79,1.27,
25:26.5,1.21,1.3,0.81,
25:26.5,0.93,1.8,-0.64,
25:26.6,0.83,2.94,-4.17,
25:26.6,-0.69,3.48,-4.89,
25:26.6,-2.41,1.81,-5.61,
25:26.6,-0.94,3.42,-6.08,
25:26.7,-0.26,4.59,-6.42,
25:26.7,0.04,2.98,-6.35,
25:26.7,-0.61,2.4,-7.15,
25:26.7,-0.99,1.71,-7.77,
25:26.7,-0.58,3.1,-9.22,
25:26.8,-1.06,2.92,-10.15,
25:26.8,-1.82,3.01,-10.4,
25:26.8,-1.4,3.02,-11.33,
25:26.8,-0.48,2.28,-10.79,
25:26.9,-0.6,2.08,-10.15,
25:26.9,-0.57,2.85,-11.47,
25:26.9,0.17,3.31,-12.84,
25:26.9,-0.43,2.79,-12.38,
25:26.9,-1.26,2.61,-11.7,
25:27.0,-0.68,3.01,-12.55,
25:27.0,-0.45,2.41,-13.19,
25:27.0,-0.86,1.88,-12.42,
25:27.0,-0.38,2.2,-12.01,
25:27.1,-0.29,2.61,-12.74,
25:27.1,-0.76,3.12,-13.8,
25:27.1,-0.45,1.95,-12.25,
25:27.1,0.38,1.63,-11.58,
25:27.1,0.37,1.53,-12.07,
25:27.2,-0.52,1.64,-13.49,
25:27.2,-1.41,2.21,-14.45,
25:27.2,-1.06,2.33,-15.16,
25:27.2,-1.01,2.3,-16.36,
25:27.3,-1.17,2.1,-16.71,
25:27.3,-1.24,2.07,-16.84,
25:27.3,-1.21,1.65,-17.43,
25:27.3,-0.83,0.96,-18.13,
25:27.4,-1.09,1.82,-18.55,
25:27.4,-1.29,2.2,-18.89,
25:27.4,-1.06,2.13,-18.32,
25:27.4,-0.57,2.4,-16.85,
25:27.4,-0.97,3.21,-14.2,
25:27.5,-1.35,3.66,-13.22,
25:27.5,-1.98,3.77,-12.05,
25:27.5,-2.08,3.99,-10.63,
25:27.5,-1.43,3.93,-9.22,
25:27.6,-0.84,3.64,-7.95,
25:27.6,-0.42,3.4,-6.79,
25:27.6,-0.52,2.98,-5.75,
25:27.6,-0.83,2.53,-5.05,
25:27.6,-1.12,2.12,-4.22,
25:27.7,-0.94,2.16,-3.43,
25:27.7,-0.34,2.29,-2.66,
25:27.7,-0.06,2.26,-1.62,
25:27.7,-0.26,2.07,-0.65,
25:27.8,-0.05,1.66,0.51,
25:27.8,0.5,1.82,1.87,
25:27.8,1.36,2.67,2.31,
25:27.8,1.25,2.43,2.44,
25:27.8,1.12,0.98,2.16,
25:27.9,0.94,0.08,0.73,
25:27.9,0.81,0.71,-1.22,
25:27.9,-0.03,1.74,-4.1,
25:27.9,-0.83,2.05,-4.61,
25:28.0,-1.57,2.48,-4.62,
25:28.0,-1.43,5.12,-6.02,
25:28.0,-1.73,4.52,-6.64,
25:28.0,-1.41,3.13,-7.18,
25:28.0,-1.17,2.49,-7.92,
25:28.1,-1.21,2.8,-9.32,
25:28.1,-1.7,2.71,-10.6,
25:28.1,-1.05,3.08,-11.41,
25:28.1,-0.33,3.18,-11.95,
25:28.2,-0.55,2.9,-12.19,
25:28.2,-0.48,2.72,-12.92,
25:28.2,0.39,3.69,-13.85,
25:28.2,-0.33,3.64,-13.87,
25:28.2,-1.49,2.92,-13.5,
25:28.3,-1.19,3.29,-13.64,
25:28.3,-0.68,3.02,-13.8,
25:28.3,-0.16,2.04,-12.66,
25:28.3,-0.31,1.75,-11.88,
25:28.4,-0.46,2.84,-12.38,
25:28.4,-0.15,2.85,-13.18,
25:28.4,-0.3,2.37,-12.66,
25:28.4,-0.56,2.44,-11.5,
25:28.4,-0.22,2.42,-11.43,
25:28.5,-0.37,2.53,-11.87,
25:28.5,-1,2.66,-12.95,
25:28.5,-0.98,2.54,-13,
25:28.5,-0.95,2.4,-13.74,
25:28.6,-1.54,2.2,-15.34,
25:28.6,-1.44,1.81,-16.3,
25:28.6,-0.82,1.17,-17.45,
25:28.6,-0.03,0.65,-17.5,
25:28.6,-0.21,1.6,-17.41,
25:28.7,-1.04,2.47,-17.97,
25:28.7,-1.22,2.87,-18.11,
25:28.7,-1.12,3.32,-17.36,
25:28.7,-0.82,3.97,-16.03,
25:28.8,-1.32,4.37,-14.77,
25:28.8,-2.13,4.21,-13.51,
25:28.8,-2.22,3.99,-11.87,
25:28.8,-1.89,3.18,-10.12,
25:28.8,-1.01,2.96,-8.6,
25:28.9,-0.43,2.98,-7.26,
25:28.9,-0.26,2.53,-6.25,
25:28.9,-0.47,2.35,-4.73,
25:28.9,-0.64,2.26,-4.24,
25:29.0,-0.67,2.43,-4.05,
25:29.0,-0.94,2.43,-3.32,
25:29.0,-0.91,2.39,-2,
25:29.0,-0.5,2.77,-1.17,
25:29.1,-0.06,2.68,-0.88,
25:29.1,0.29,2.1,-0.17,
25:29.1,0.55,1.85,1.05,
25:29.1,1.73,2.25,1.45,
25:29.1,1.71,1.77,1.61,
25:29.2,1.94,0.85,0.03,
25:29.2,0.64,0.8,0.56,
25:29.2,-0.09,2.03,-2.18,
25:29.2,-0.26,3.62,-3.57,
25:29.3,-2.08,2.43,-4.01,
25:29.3,-2.35,2.62,-5.79,
25:29.3,-1.45,4.17,-5.89,
25:29.3,-0.68,3.88,-5.95,
25:29.3,-0.12,3.12,-5.76,
25:29.4,0.13,3.02,-6.98,
25:29.4,-0.71,2.19,-8.65,
25:29.4,-1.57,3.22,-10.22,
25:29.4,-1.45,3.44,-11.06,
25:29.5,-0.18,3.19,-11.79,
25:29.5,0.03,2.82,-11.97,
25:29.5,-0.89,2.76,-11.66,
25:29.5,-0.3,3.33,-13.71,
25:29.5,0.46,3.4,-13.67,
25:29.6,0.11,4.06,-13.39,
25:29.6,-0.91,3.78,-14.16,
25:29.6,0.09,2.61,-14.2,
25:29.6,-1.04,3,-13.95,
25:29.7,-1.76,2.57,-13.43,
25:29.7,-0.93,1.45,-12.87,
25:29.7,-0.46,2.13,-13.1,
25:29.7,-0.06,2.43,-13.05,
25:29.7,0.23,2.25,-12.69,
25:29.8,-0.87,2.76,-13.48,
25:29.8,-1.1,2.77,-13.92,
25:29.8,-0.77,2.55,-14.71,
25:29.8,-0.57,3.05,-16.09,
25:29.9,-0.59,2.88,-16.52,
25:29.9,-0.45,1.33,-16.5,
25:29.9,-0.93,1.37,-16.95,
25:29.9,-1.32,2.47,-18.16,
25:29.9,-1.55,2.67,-19.06,
25:30.0,-1.63,2.66,-18.35,
25:30.0,-1.25,3.46,-16.75,
25:30.0,-1.09,3.96,-15.33,
25:30.0,-1.26,4.12,-14.09,
25:30.1,-1.74,4.16,-12.5,
25:30.1,-1.74,4.44,-11.14,
25:30.1,-1.17,3.69,-9.58,
25:30.1,-0.59,3.02,-7.69,
25:30.1,-0.66,2.35,-6.48,
25:30.2,-0.92,2.27,-5.02,
25:30.2,-0.97,2.12,-4.78,
25:30.2,-0.78,2.09,-4.34,
25:30.2,-0.54,2.59,-3.65,
25:30.3,-0.88,2.27,-2.63,
25:30.3,-0.99,2.16,-1.48,
25:30.3,-0.6,2.45,-0.83,
25:30.3,-0.28,2.09,-0.3,
25:30.3,0.5,1.78,1.42,
25:30.4,0.97,2.44,2.32,
25:30.4,0.99,1.85,2.94,
25:30.4,1.32,0.13,1.66,
25:30.4,2.72,0.13,-0.18,
25:30.5,1.68,0.58,-0.5,
25:30.5,-0.23,3.28,-4.42,
25:30.5,-1.37,2.69,-5.11,
25:30.5,-2.41,2.56,-6.01,
25:30.5,-1.83,4.7,-6.84,
25:30.6,-1.35,5.87,-7.48,
25:30.6,-0.76,3.25,-7.9,
25:30.6,-1.53,2.2,-8.55,
25:30.6,-1.4,2.58,-10.29,
25:30.7,-0.35,3.72,-11.03,
25:30.7,-0.36,2.93,-11.05,
25:30.7,-0.6,3.37,-11.59,
25:30.7,-0.2,4,-12.38,
25:30.7,0.2,3.39,-12.95,
25:30.8,-0.15,3.19,-13.22,
25:30.8,0.01,4.46,-13.38,
25:30.8,-0.71,4.69,-14.06,
25:30.8,-0.12,2.56,-13.79,
25:30.9,-0.73,2.3,-13.02,
25:30.9,-1.31,2.77,-13.18,
25:30.9,-1.62,3.05,-13.5,
25:30.9,-0.68,1.62,-13.4,
25:31.0,-0.54,1.48,-13.32,
25:31.0,-0.66,1.65,-12.93,
25:31.0,-0.8,1.9,-12.72,
25:31.0,-0.69,2.39,-13.67,
25:31.0,-0.9,2.61,-14.12,
25:31.1,-1.18,2.95,-14.54,
25:31.1,-0.66,2.71,-15.12,
25:31.1,-0.04,2.26,-15.78,
25:31.1,-0.11,1.73,-16.43,
25:31.2,-0.65,1.39,-16.48,
25:31.2,-1.48,1.87,-17.09,
25:31.2,-1.76,2.5,-17.79,
25:31.2,-1.65,3.1,-17.73,
25:31.2,-1.54,3.72,-16.74,
25:31.3,-1.5,4.41,-15.39,
25:31.3,-1.48,4.44,-13.9,
25:31.3,-1.15,4.15,-12.28,
25:31.3,-1.17,3.69,-10.51,
25:31.4,-1.33,3.06,-9.1,
25:31.4,-1.03,2.76,-8.1,
25:31.4,-0.66,3.02,-7.36,
25:31.4,-0.81,3.02,-6.62,
25:31.4,-0.82,2.83,-5.74,
25:31.5,-0.58,2.75,-4.73,
25:31.5,-0.35,2.61,-3.93,
25:31.5,-0.26,2.45,-2.49,
25:31.5,-0.27,2.26,-1.87,
25:31.6,-0.42,2.32,-0.78,
25:31.6,-0.22,2.11,-0.06,
25:31.6,0.18,1.66,0.94,
25:31.6,0.66,2.07,1.49,
25:31.6,0.99,2.21,1.63,
25:31.7,0.99,0.85,1.63,
25:31.7,1.45,-0.27,0.3,
25:31.7,1.85,0.36,-0.74,
25:31.7,0.4,1.24,-1.53,
25:31.8,-0.73,2.9,-4.4,
25:31.8,-1.6,2.29,-4.91,
25:31.8,-1.71,5.15,-6.33,
25:31.8,-0.75,4.89,-7.43,
25:31.8,-0.36,3.91,-7.65,
25:31.9,-0.52,3.72,-7.65,
25:31.9,-0.85,2.91,-8.6,
25:31.9,-1.17,2.93,-11.07,
25:31.9,-0.62,2.89,-11.4,
25:32.0,-0.42,2.69,-11.61,
25:32.0,-0.17,2.54,-11.76,
25:32.0,0.22,2.83,-11.88,
25:32.0,0.22,3.43,-12.64,
25:32.0,-0.15,4.29,-14.77,
25:32.1,-0.86,3.88,-14.05,
25:32.1,-1.19,2.97,-14.14,
25:32.1,-0.66,2.67,-13.67,
25:32.1,-1.09,3.1,-13.7,
25:32.2,-1.08,2.14,-13.61,
25:32.2,-0.9,1.96,-13.58,
25:32.2,-0.86,2.81,-13.82,
25:32.2,-0.47,2.84,-13.2,
25:32.2,-0.07,2.79,-13.07,
25:32.3,0.08,2.96,-13.31,
25:32.3,-0.63,2.16,-14.04,
25:32.3,-0.85,1.64,-14.06,
25:32.3,-1.19,1.39,-14.51,
25:32.4,-1.11,1.77,-15.44,
25:32.4,-0.59,1.55,-17.02,
25:32.4,-0.81,1.7,-17.51,
25:32.4,-1.86,2.63,-18.49,
25:32.4,-2.08,3.16,-18.05,
25:32.5,-1.64,3.39,-17.41,
25:32.5,-1.08,4.39,-15.81,
25:32.5,-1.3,5.17,-14.81,
25:32.5,-1.36,4.9,-13.34,
25:32.6,-0.94,4.41,-11.73,
25:32.6,-0.63,3.6,-10.25,
25:32.6,-0.55,3.49,-8.96,
25:32.6,-0.87,3.18,-7.52,
25:32.7,-0.89,2.92,-6.28,
25:32.7,-0.48,2.92,-5.76,
25:32.7,-0.53,2.17,-4.22,
25:32.7,-0.65,1.99,-3.79,
25:32.7,-1.27,1.92,-2.61,
25:32.8,-1.07,2.05,-2.09,
25:32.8,-0.35,2.25,-1.18,
25:32.8,0.13,2.51,-0.78,
25:32.8,0.73,2.52,0.06,
25:32.9,1.22,2.72,1.92,
25:32.9,1.13,2.59,2.41,
25:32.9,1.19,0.7,2.29,
25:32.9,1.23,0.56,1.22,
25:32.9,1.34,1.35,-0.75,
25:33.0,0.35,1.37,-0.83,
25:33.0,-0.68,3.36,-3.51,
25:33.0,-2.13,1.37,-4.74,
25:33.0,-1.46,4.73,-6.03,
25:33.1,-1.36,4.46,-5.99,
25:33.1,-0.7,3.11,-6.36,
25:33.1,-0.51,3.08,-6.95,
25:33.1,-1.16,2.92,-7.59,
25:33.1,-0.74,3.16,-9.58,
25:33.2,-0.39,3.9,-10.68,
25:33.2,-1.32,3.38,-11.33,
25:33.2,-1.29,2.74,-11.54,
25:33.2,-0.58,2.95,-11.61,
25:33.3,-0.55,3.71,-12.92,
25:33.3,-1.09,4.26,-13.96,
25:33.3,-0.86,4.89,-14.49,
25:33.3,-1.04,5.27,-14.5,
25:33.3,-1.21,3.68,-12.95,
25:33.4,-0.45,3.77,-13.37,
25:33.4,-0.19,3.68,-14.52,
25:33.4,-1.16,3.2,-14.38,
25:33.4,-1.47,2.9,-13.39,
25:33.5,-0.59,2.67,-12.65,
25:33.5,-0.07,2.96,-12.79,
25:33.5,-0.63,3.38,-13.48,
25:33.5,-1.12,4,-14.5,
25:33.5,-1.56,3.63,-15.05,
25:33.6,-1.58,2.58,-15.57,
25:33.6,-0.96,1.97,-16.22,
25:33.6,-1.02,1.87,-16.2,
25:33.6,-1.86,1.25,-17.48,
25:33.7,-0.98,2.84,-17.84,
25:33.7,-0.86,3.53,-17.93,
25:33.7,-1.21,4.63,-17.92,
25:33.7,-1.28,4.89,-15.35,
25:33.7,-1.24,5.14,-14.76,
25:33.8,-1.21,5.57,-13.73,
25:33.8,-1.53,4.04,-11.68,
25:33.8,-1.59,3.66,-10.82,
25:33.8,-1.55,3.33,-8.6,
25:33.9,-1.31,3.23,-7.97,
25:33.9,-0.85,3.16,-6.76,
25:33.9,-0.7,2.59,-5.75,
25:33.9,-0.66,2.18,-4.37,
25:33.9,-1.05,2.02,-3.67,
25:34.0,-1.17,2.37,-3.05,
25:34.0,-1.04,2.51,-2.69,
25:34.0,-0.5,3.27,-1.56,
25:34.0,-0.55,2.85,-1.1,
25:34.1,-0.06,1.02,0.35,
25:34.1,0.71,1.32,1.39,
25:34.1,1.04,1.71,1.91,
25:34.1,1.48,1.78,2.97,
25:34.2,1.61,0.47,1.86,
25:34.2,1.86,0.78,1.05,
25:34.2,0.57,1.37,0.53,
25:34.2,-0.05,1.86,-0.11,
25:34.2,-0.32,4.05,-3.9,
25:34.3,-2.56,3.9,-5.32,
25:34.3,-2.82,3.06,-6.51,
25:34.3,-2.21,3.91,-6.65,
25:34.3,-0.63,3.78,-6.87,
25:34.4,-0.22,2.68,-6.81,
25:34.4,-0.22,2.48,-8.6,
25:34.4,-0.12,3.12,-11.26,
25:34.4,-1.13,4.24,-12.7,
25:34.4,-1.58,3.07,-12.84,
25:34.5,-1.21,2.73,-12.86,
25:34.5,-0.56,4.3,-12.8,
25:34.5,-0.84,4.28,-13.66,
25:34.5,-0.58,4.28,-14.35,
25:34.6,-0.38,3.64,-13.76,
25:34.6,-0.89,3.36,-13.62,
25:34.6,-1.28,3.43,-14.84,
25:34.6,-1.57,3.09,-15.16,
25:34.6,-0.73,2.07,-13.63,
25:34.7,0.07,1.88,-13.06,
25:34.7,0.98,2.17,-12.77,
25:34.7,-0.59,3.04,-13.55,
25:34.7,-1,3.21,-13.75,
25:34.8,-0.48,2.67,-13.58,
25:34.8,-0.26,2.45,-14.3,
25:34.8,-0.55,2.14,-15.05,
25:34.8,-0.67,2.28,-16.06,
25:34.8,-0.57,2.6,-17.44,
25:34.9,-1.13,2.49,-18.06,
25:34.9,-1.87,2.87,-18.25,
25:34.9,-1.55,2.65,-17.81,
25:34.9,-1.65,3.29,-17.23,
25:35.0,-1.81,4.18,-15.93,
25:35.0,-1.42,4.95,-14.46,
25:35.0,-0.98,5.16,-12.99,
25:35.0,-1.18,4.63,-11.55,
25:35.0,-1.42,3.61,-10.08,
25:35.1,-1.1,3.1,-7.84,
25:35.1,-0.96,2.89,-7.17,
25:35.1,-0.93,2.41,-6.29,
25:35.1,-0.66,2.61,-5.59,
25:35.2,-0.69,2.58,-5.24,
25:35.2,-0.82,2.78,-4.26,
25:35.2,-0.74,2.88,-3.98,
25:35.2,-0.6,2.4,-2.23,
25:35.2,-0.45,1.85,-1.17,
25:35.3,-0.55,1.76,-0.5,
25:35.3,-0.34,1.69,0.17,
25:35.3,0.34,1.62,1.1,
25:35.3,1,2.06,2.03,
25:35.4,1.13,1.8,2.62,
25:35.4,1.17,0.56,0.57,
25:35.4,1.91,0.64,-0.57,
25:35.4,1.49,0.79,-0.2,
25:35.4,0.51,1.53,-2.05,
25:35.5,-0.2,3.24,-3.89,
25:35.5,-1.52,2.64,-4.36,
25:35.5,-2.44,4.14,-6.38,
25:35.5,-2.02,4.79,-7.03,
25:35.6,-1.09,3.74,-7.3,
25:35.6,-0.8,3.88,-7.27,
25:35.6,-1.54,3,-8.15,
25:35.6,-2.04,4.38,-11.95,
25:35.6,-0.62,4.83,-13.05,
25:35.7,-0.94,2.02,-11.12,
25:35.7,-0.47,2.15,-11.64,
25:35.7,0.64,3.01,-13.43,
25:35.7,1.74,4.46,-14.14,
25:35.8,0.57,3.2,-13.63,
25:35.8,-0.51,4.39,-14.27,
25:35.8,-1.74,5.62,-16.18,
25:35.8,-1.47,3.93,-14.81,
25:35.8,-0.12,1.96,-13.34,
25:35.9,-0.02,1.74,-13.18,
25:35.9,-0.96,2.19,-13.37,
25:35.9,-1.29,3.05,-14.91,
25:35.9,-1.17,3.56,-15.41,
25:36.0,-0.24,2.77,-14.46,
25:36.0,0.32,2.07,-14.17,
25:36.0,-0.02,2.16,-14.63,
25:36.0,-0.25,2.27,-15.52,
25:36.1,-0.49,2.25,-16.57,
25:36.1,-1.21,2.35,-17.68,
25:36.1,-1.65,2.68,-17.93,
25:36.1,-1.14,2.71,-17.25,
25:36.1,-1.49,3.32,-16.63,
25:36.2,-1.63,3.73,-16.42,
25:36.2,-1.37,4.39,-15.74,
25:36.2,-1.34,5.13,-14,
25:36.2,-1.47,4.39,-12.17,
25:36.3,-1.29,3.79,-10.48,
25:36.3,-0.97,3.64,-9.3,
25:36.3,-0.87,2.94,-7.75,
25:36.3,-0.91,2.51,-6.52,
25:36.3,-0.99,2.75,-5.99,
25:36.4,-1.13,2.5,-5.27,
25:36.4,-1.2,2.45,-4.5,
25:36.4,-1.02,2.24,-3.63,
25:36.4,-0.86,2.02,-2.69,
25:36.5,-0.47,2.15,-1.52,
25:36.5,-0.09,2.31,-0.95,
25:36.5,0.25,1.94,-0.18,
25:36.5,0.7,1.81,1.12,
25:36.5,1.07,2.47,2.27,
25:36.6,1.15,2.58,2.95,
25:36.6,0.69,0.64,0.86,
25:36.6,0.47,0.71,-0.46,
25:36.6,0.5,0.93,-0.98,
25:36.7,-0.23,1.07,-2.24,
25:36.7,-1.49,0.86,-3.57,
25:36.7,-0.95,4.23,-4.78,
25:36.7,-0.85,5.63,-5.58,
25:36.7,-0.85,5.14,-5.61,
25:36.8,-1,3.51,-6.02,
25:36.8,-0.43,2.51,-7.78,
25:36.8,-0.8,3.59,-9.08,
25:36.8,-1.39,3.39,-11.03,
25:36.9,-1.58,5.05,-12.68,
25:36.9,-1.32,4.59,-12.17,
25:36.9,-1.22,2.81,-11.66,
25:36.9,-0.69,2.79,-12.49,
25:36.9,-0.14,3.36,-13.52,
25:37.0,0.21,4.35,-14.19,
25:37.0,-0.8,3.89,-14.13,
25:37.0,-1.41,3.06,-13.44,
25:37.0,-0.72,3.09,-13.04,
25:37.1,-0.53,4.23,-13.52,
25:37.1,-1.4,4.29,-14.53,
25:37.1,-1.63,3.22,-13.92,
25:37.1,-0.83,2.55,-12.25,
25:37.1,-0.14,2.47,-12.05,
25:37.2,-0.83,2.45,-12.51,
25:37.2,-1.04,2.66,-12.81,
25:37.2,-1.05,3.21,-13.31,
25:37.2,-1.03,3.32,-13.52,
25:37.3,-1.41,2.64,-14.46,
25:37.3,-1.28,2.25,-14.73,
25:37.3,-0.74,1.79,-15.11,
25:37.3,-0.52,1.63,-15.68,
25:37.3,-0.9,1.13,-16.11,
25:37.4,-1.28,1.74,-16.69,
25:37.4,-1.9,2.86,-17.19,
25:37.4,-1.75,3.63,-17.39,
25:37.4,-1.4,3.41,-16.93,
25:37.5,-1.33,3.62,-15.87,
25:37.5,-1.54,3.85,-14.09,
25:37.5,-1.6,4.09,-12.91,
25:37.5,-1.28,4.23,-11.41,
25:37.5,-1.13,3.37,-9.41,
25:37.6,-1.13,2.76,-8.05,
25:37.6,-0.86,3.17,-7.49,
25:37.6,-0.92,3.21,-6.91,
25:37.6,-0.94,3.24,-6.59,
25:37.7,-1.13,3.15,-5.73,
25:37.7,-1.39,2.58,-5,
25:37.7,-1.02,2.86,-3.94,
25:37.7,-0.65,3.7,-3.33,
25:37.8,-0.54,2.81,-2.35,
25:37.8,0.11,2.45,-1.49,
25:37.8,0.77,2.36,-0.98,
25:37.8,0.77,1.4,0.49,
25:37.8,0.59,0.98,2.15,
25:37.9,0.77,0.97,3.11,
25:37.9,1.18,1.37,2.25,
25:37.9,1.14,1.69,-0.07,
25:37.9,0.98,1.97,-1.41,
25:38.0,0.4,2.72,-3.46,
25:38.0,-0.52,2.29,-2.78,
25:38.0,-1.61,2.11,-4.46,
25:38.0,-1.46,4.45,-6.07,
25:38.0,-0.96,4.95,-6.52,
25:38.1,-1.01,3.33,-6.73,
25:38.1,-0.63,3.22,-6.87,
25:38.1,-0.94,3.09,-8.08,
25:38.1,-1.18,2.66,-9.09,
25:38.2,-1.46,4.02,-10.62,
25:38.2,-1.03,4.8,-11.64,
25:38.2,-0.72,4.3,-11.66,
25:38.2,-0.83,2.83,-11.77,
25:38.2,-1.3,3.4,-12.08,
25:38.3,-1.42,3.85,-12.44,
25:38.3,-1.59,3.36,-13.3,
25:38.3,-1.05,2.53,-14.19,
25:38.3,-0.84,2.33,-13.5,
25:38.4,-0.65,2.78,-12.82,
25:38.4,-0.58,2.9,-13.31,
25:38.4,-0.23,2.75,-13.89,
25:38.4,0.47,2.92,-13.83,
25:38.4,0.42,2.49,-13.46,
25:38.5,-0.25,2.49,-13.5,
25:38.5,-0.92,3.2,-14.21,
25:38.5,-1.61,3.24,-15.01,
25:38.5,-1.81,2.39,-14.38,
25:38.6,-1.76,1.17,-13.49,
25:38.6,-1.62,0.99,-13.2,
25:38.6,-1.72,0.04,-12.99,
25:38.6,-0.77,-0.25,-12.25,
25:38.6,-0.3,0.98,-12.19,
25:38.7,-0.99,2.17,-13.66,
25:38.7,0.08,2.78,-12.42,
25:38.7,0.27,2.69,-12.21,
25:38.7,0.1,2.45,-12.28,
25:38.8,0.15,1.87,-11.9,
25:38.8,0.02,1.51,-11.64,
25:38.8,-0.3,1.37,-11.39,
25:38.8,-0.56,1.4,-11.03,
25:38.8,-0.72,1.39,-10.32,
25:38.9,-0.7,1.06,-9.83,
25:38.9,-0.71,0.82,-9.36,
25:38.9,-0.64,0.87,-8.62,
25:38.9,-0.48,1.1,-7.86,
25:39.0,-0.31,1.25,-7.38,
25:39.0,-0.22,1.35,-7.09,
25:39.0,-0.11,1.5,-6.89,
25:39.0,-0.09,1.63,-6.94,
25:39.0,-0.22,1.7,-7.15,
25:39.1,-0.19,1.83,-7.2,
25:39.1,-0.06,1.75,-7.44,
25:39.1,0.25,1.55,-7.28,
25:39.1,0.23,1.38,-7.3,
25:39.2,0.32,0.74,-7.4,
25:39.2,0.71,0.45,-7.41,
25:39.2,0.77,0.51,-7.54,
25:39.2,0.28,0.76,-8.21,
25:39.2,-0.11,1.34,-9.01,
25:39.3,-0.25,1.74,-9.48,
25:39.3,-0.62,1.85,-10.07,
25:39.3,-0.63,1.81,-10.01,
25:39.3,-0.69,1.59,-9.78,
25:39.4,-0.65,1.23,-9.63,
25:39.4,-0.23,1.08,-9.29,
25:39.4,-0.29,1.06,-9.33,
25:39.4,-0.48,1.1,-9.47,
25:39.4,-0.58,1.21,-9.77,
25:39.5,-0.48,1.27,-9.83,
25:39.5,-0.39,1.38,-9.95,
25:39.5,-0.25,1.4,-9.86,
25:39.5,0.13,1.24,-9.53,
25:39.6,0.23,1.23,-9.47,
25:39.6,0.2,1.45,-9.52,
25:39.6,0.13,1.6,-9.41,
25:39.6,0.08,1.51,-9.22,
25:39.7,0.06,1.39,-9.06,
25:39.7,0.01,1.34,-8.92,
25:39.7,-0.03,1.31,-8.59,
25:39.7,0.02,1.26,-8.16,
